ruta,vattendist,namn,strandtyp,kusttyp,urvalsklass,provyta,pyid,exponering,transektlen,transektriktning,easting,northing,longitud,latitud
5135,SE5,Kalvöfjord,strandäng/våtmark,öar,15_strandängsbete,2,20265135002,,42.5,220,303864.9536,6460700.2522,11.6582523952089,58.2436289409746
5138,SE5,Havstensfjorden,strandäng/våtmark,öar,15_strandängsbete,1,20265138001,,18.2,270,311239.7518,6462090.0676,11.7825423099784,58.2593137691428
5139,SE5,Kalvöfjord,klippa/häll,öar,01_klippstränder,2,20265139002,,6,209,306308.6443,6465899.2314,11.695466343438,58.291328026455
5139,SE5,Kalvöfjord,block/grus,öar,02_block/grus,3,20265139003,,4.3,146,306437.8049,6465906.6277,11.6976595395826,58.2914512167376
5139,SE5,Kalvöfjord,strandäng/våtmark,öar,14_strandäng,4,20265139004,,10.1,109,306525.1703,6465939.9286,11.699119403235,58.2917882628837
5140,SE5,Havstensfjorden,strandäng/våtmark,öar,15_strandängsbete,2,20265140002,,15.8,273,311745.3092,6465615.4135,11.7882811680745,58.2911439766584
5140,SE5,Havstensfjorden,strandäng/våtmark,öar,14_strandäng,1,20265140001,,31.8,356,311870.1292,6465975.9624,11.7901138680577,58.2944306308416
5142,SE5,Havstensfjorden,block/grus,fastland,06_dyner,7,20265142007,,12.9,19,308232.8915,6467571.9287,11.7268477797943,58.3071704030066
5143,SE5,Havstensfjorden,block/grus,öar,02_block/grus,1,20265143001,,21.1,350,310130.307,6468314.661,11.7585639173301,58.314654507054
5143,SE5,Havstensfjorden,klippa/häll,öar,08_havsklippa,2,20265143002,,18.3,290,310221.7476,6468370.1207,11.7600765887064,58.3151913348038
5143,SE5,Havstensfjorden,klippa/häll,öar,01_klippstränder,3,20265143003,,14.2,276,310309.135,6468446.3948,11.7615031568679,58.315913043108
5144,SE5,Havstensfjorden,strandäng/våtmark,fastland,15_strandängsbete,4,20265144004,,75.5,352,312901.8342,6469668.7476,11.8046976855399,58.3279864782542
5145,SE5,Havstensfjorden,strandäng/våtmark,fastland,15_strandängsbete,1,20265145001,,97.1,84,313155.789,6469581.722,11.8090974337953,58.3273141920148
5145,SE5,Havstensfjorden,strandäng/våtmark,fastland,14_strandäng,4,20265145004,,123.6,346,313646.9906,6469675.6544,11.8173954395651,58.3283652760852
5147,SE5,Havstensfjorden,strandäng/våtmark,fastland,15_strandängsbete,2,20265147002,,112.4,243,307143.5491,6470261.6695,11.7060454133162,58.3308120088395
5183,SE3,Öregrunds kustvatten,klippa/häll,skär,09_skär,3,20265183003,,39,64,712771.8227,6689052.9303,18.8489306268693,60.2822261359981
5185,SE3,Öregrunds kustvatten,strandäng/våtmark,fastland,14_strandäng,2,20265185002,,25.5,126,696871.0636,6692345.1707,18.5651869341618,60.3197431692676
5188,SE3,Ängsfjärden sek namn,strandäng/våtmark,fastland,14_strandäng,1,20265188001,,50.2,349,693876.8947,6693113.3675,18.511824953672,60.3280691527967
5192,SE3,Öregrunds kustvatten,klippa/häll,skär,09_skär,3,20265192003,,48.9,9,702345.7475,6697256.7831,18.6690394814371,60.3610607906946
5214,SE1,Västerfjärden,sand,fastland,03_sand,14,20265214014,,2,68,761108.4215,7070329.4424,20.2795357116238,63.6636755320229
5214,SE1,Västerfjärden,konstruerad,fastland,05_konstruerad,18,20265214018,,NA,NA,760324.4453,7070437.3541,20.26394365962,63.6652192300576
5214,SE1,Västerfjärden,klippa/häll,fastland,14_strandäng,29,20265214029,,35.1,310,760957.587,7070591.4923,20.2769377796815,63.6661289110133
5214,SE1,Västerfjärden,block/grus,fastland,02_block/grus,30,20265214030,,3.7,76,760195.151,7070619.1405,20.26164433159,63.6669391685429
5214,SE1,Västerfjärden,strandäng/våtmark,fastland,07_landhöjningsskog,34,20265214034,,16,7,760570.8968,7070707.4245,20.2693508830658,63.6674507737794
5214,SE1,Västerfjärden,strandäng/våtmark,fastland,10_vasstrand,35,20265214035,,9.1,267,760128.8071,7070730.6203,20.2604946048146,63.6679843508839
5214,SE1,Västerfjärden,klippa/häll,fastland,01_klippstränder,36,20265214036,,3.4,156,760322.4713,7070760.7703,20.2644412559965,63.6681109207045
5218,SE1,Fjärdgrundsområdet sek namn,klippa/häll,fastland,01_klippstränder,4,20265218004,,3.9,91,766473.59,7072179.8927,20.3905947996158,63.6761978564037
5218,SE1,Fjärdgrundsområdet sek namn,konstruerad,fastland,05_konstruerad,5,20265218005,,0.8,247,766986.7821,7072220.5552,20.4009903450216,63.6761729825176
5218,SE1,Fjärdgrundsområdet sek namn,block/grus,fastland,14_strandäng,6,20265218006,,21.3,30,766327.4809,7072236.6584,20.3877513591391,63.6768154258091
5218,SE1,Fjärdgrundsområdet sek namn,block/grus,fastland,02_block/grus,7,20265218007,,3,90,766493.3688,7072263.1447,20.3911344822225,63.6769267427842
5220,SE1,Yttre Täftefjärden,block/grus,öar,02_block/grus,10,20265220010,,37.3,263,768395.6795,7073806.7496,20.4320584505211,63.689274743285
5220,SE1,Yttre Täftefjärden,block/grus,öar,07_landhöjningsskog,13,20265220013,,21.8,292,768406.792,7073894.0622,20.4324319713204,63.6900463392246
5222,SE1,S n Kvarkens kustvatten,block/grus,skär,14_strandäng,1,20265222001,,31.6,181,770152.124,7074270.777,20.4682148097633,63.6920782016211
5222,SE1,S n Kvarkens kustvatten,klippa/häll,skär,09_skär,2,20265222002,,6.5,139,770176.0626,7074271.2073,20.4686974491371,63.6920636929595
5235,SE1,Täftefjärden,block/grus,fastland,07_landhöjningsskog,2,20265235002,,11.6,270,770359.3857,7086301.7949,20.493274950177,63.7993955941315
5235,SE1,Täftefjärden,strandäng/våtmark,fastland,14_strandäng,6,20265235006,,75.3,247,770293.4641,7086766.2153,20.4927526196781,63.8035950970139
5237,SE1,S Bottenvikens kustvatten,sand,fastland,06_dyner,1,20265237001,,17.1,260,817562.6621,7162102.4702,21.604591530023,64.4356933390964
5239,SE1,Bjuröfjärden,block/grus,öar,07_landhöjningsskog,5,20265239005,,5.6,205,811382.0584,7164188.9251,21.4814643602296,64.4599957897712
5239,SE1,Bjuröfjärden,block/grus,öar,07_landhöjningsskog,8,20265239008,,5,220,811248.1648,7164284.1867,21.4789004761949,64.4609675022708
5239,SE1,Bjuröfjärden,block/grus,skär,09_skär,9,20265239009,,29.9,17,811150.8645,7164408.7099,21.4771541968273,64.4621666518655
5240,SE1,Bjuröfjärden,block/grus,fastland,02_block/grus,19,20265240019,,3.6,41,813077.2339,7164298.7556,21.5167086315942,64.4594214989795
5240,SE1,Bjuröfjärden,block/grus,fastland,07_landhöjningsskog,10,20265240010,,20.6,159,812917.8253,7164656.6104,21.5141778926274,64.4627584017243
5240,SE1,Bjuröfjärden,strandäng/våtmark,fastland,14_strandäng,16,20265240016,,42.8,69,813032.3488,7164847.1037,21.5169489368181,64.4643515188052
5243,SE1,Bjuröfjärden,block/grus,öar,02_block/grus,1,20265243001,,16.4,335,814278.4424,7166035.3906,21.5452282065914,64.4737976778553
5243,SE1,Bjuröfjärden,klippa/häll,öar,01_klippstränder,5,20265243005,,17.1,247,814266.2451,7166223.2054,21.5453779840552,64.4754832926704
5249,SE1,Sandvikssundet,sand,fastland,06_dyner,1,20265249001,,9.6,178,807566.1773,7175168.2889,21.4256982465468,64.5613675256737
5251,SE5,M Bohusläns skärgårds kustvatten,klippa/häll,öar,01_klippstränder,8,20265251008,,86.9,59,287004.9487,6459706.032,11.3725379327487,58.2268901471402
5253,SE5,Koljö fjord,strandäng/våtmark,öar,15_strandängsbete,3,20265253003,,10.7,354,300773.3091,6460256.7979,11.60606253529,58.2382658179474
5254,SE5,Gullmarn centralbassäng,sand,öar,14_strandäng,1,20265254001,,18.2,355,291193.8863,6462216.8012,11.4414631217649,58.2514015702613
5257,SE5,Saltö fjord,klippa/häll,öar,01_klippstränder,3,20265257003,,53.1,354,288909.8759,6463094.824,11.4018276352982,58.2581834982779
5257,SE5,Saltö fjord,block/grus,öar,02_block/grus,6,20265257006,,75.8,0,289012.1539,6463137.199,11.4035285643741,58.2586123644196
5257,SE5,Saltö fjord,klippa/häll,öar,01_klippstränder,12,20265257012,,111,157,288907.2077,6463419.6504,11.4014867980256,58.2610939534183
5259,SE5,Gullmarn centralbassäng,strandäng/våtmark,fastland,15_strandängsbete,1,20265259001,,38.7,152,296863.713,6466842.2779,11.5338316293133,58.2955216158161
5259,SE5,Gullmarn centralbassäng,strandäng/våtmark,fastland,15_strandängsbete,3,20265259003,,12.5,50,296936.8781,6466946.5991,11.5349859351502,58.2964906723391
5264,SE5,Yttre Brofjorden,block/grus,fastland,06_dyner,2,20265264002,,10.3,126,289458.8345,6471316.411,11.4036872459112,58.3321444276313
5270,SE5,Gullmarn centralbassäng,klippa/häll,fastland,01_klippstränder,3,20265270003,,10.7,143,300631.4014,6473169.4813,11.5925293559651,58.3539741763542
5270,SE5,Gullmarn centralbassäng,block/grus,fastland,02_block/grus,4,20265270004,,4.7,125,300715.8178,6473229.9104,11.5939169870576,58.3545543196475
5270,SE5,Gullmarn centralbassäng,klippa/häll,fastland,08_havsklippa,5,20265270005,,6.4,111,300774.8263,6473346.6575,11.5948226168707,58.3556278395885
5272,SE5,Gullmarn centralbassäng,strandäng/våtmark,fastland,15_strandängsbete,2,20265272002,,41.7,91,304770.3684,6476275.9141,11.660497529119,58.3836888627261
5273,SE5,Gullmarn centralbassäng,strandäng/våtmark,öar,14_strandäng,1,20265273001,,18.2,113,301335.0824,6477379.3704,11.6009002707588,58.3920381527739
5278,SE5,Färlevfjorden,strandäng/våtmark,fastland,15_strandängsbete,6,20265278006,,184.6,22,300284.9112,6487087.7085,11.5745146105294,58.4785999856434
5346,SE1,Västantillfjärden,strandäng/våtmark,öar,06_dyner,4,20265346004,,13.6,197,837385.3958,7279171.2194,22.2926180932792,65.4589394723638
5347,SE1,Sörbrändöfjärden,block/grus,öar,06_dyner,2,20265347002,,17.8,219,841614.9509,7280078.0784,22.3854108164568,65.4625996445116
5347,SE1,Sörbrändöfjärden,block/grus,öar,06_dyner,5,20265347005,,14.6,209,841244.5883,7280179.7686,22.3777409962655,65.4638928428711
5350,SE1,Sörbrändöfjärden,strandäng/våtmark,öar,06_dyner,6,20265350006,,91.9,295,840231.7563,7283963.8586,22.3655889125827,65.4986246512378
5351,SE1,Sörbrändöfjärden,strandäng/våtmark,öar,06_dyner,9,20265351009,,61.1,167,846794.8552,7283270.7732,22.5044236268262,65.485525081151
5351,SE1,Sörbrändöfjärden,strandäng/våtmark,öar,14_strandäng,12,20265351012,,38.4,89,846919.7564,7283452.3836,22.5075645186666,65.4870073683375
5351,SE1,Sörbrändöfjärden,block/grus,öar,07_landhöjningsskog,14,20265351014,,32,45,846826.7065,7283653.1487,22.5060873035377,65.4888924730013
5352,SE1,Germandöfjärden,block/grus,öar,06_dyner,3,20265352003,,13,62,833127.6847,7284237.5988,22.2139688205166,65.5084205635765
5353,SE1,Sörbrändöfjärden,sand,öar,06_dyner,1,20265353001,,132.7,292,840269.6847,7283997.3081,22.3664860947307,65.4988825888162
5353,SE1,Sörbrändöfjärden,sand,öar,06_dyner,2,20265353002,,133.6,290,840283.1784,7284037.2603,22.3668760165728,65.499223962894
5354,SE1,Sandöfjärden,konstruerad,öar,06_dyner,1,20265354001,,5.4,253,838563.082,7285099.0015,22.3326737753962,65.5104684168115
5358,SE1,Sandöfjärden,block/grus,skär,07_landhöjningsskog,1,20265358001,,34.3,192,837801.5405,7286982.2635,22.3210658852663,65.5280204027063
5358,SE1,Sandöfjärden,block/grus,öar,02_block/grus,3,20265358003,,18.6,284,837198.6533,7287113.6464,22.3084582084717,65.5298164310598
5360,SE1,Sörbrändöfjärden,block/grus,fastland,14_strandäng,2,20265360002,,30,278,841260.0379,7288177.6653,22.398295694876,65.535039443343
5360,SE1,Sörbrändöfjärden,block/grus,fastland,07_landhöjningsskog,3,20265360003,,41.1,232,841200.6948,7288274.6827,22.3972682485819,65.5359650510162
5360,SE1,Sörbrändöfjärden,sand,fastland,03_sand,21,20265360021,,7.9,39,841785.4042,7288582.8521,22.4105988897202,65.5380915900854
5360,SE1,Sörbrändöfjärden,block/grus,fastland,02_block/grus,25,20265360025,,13.2,209,841343.0241,7288738.8303,22.401500438774,65.5399450697547
5360,SE1,Sörbrändöfjärden,klippa/häll,fastland,01_klippstränder,30,20265360030,,14.7,88,841595.1719,7288874.1069,22.4072559121211,65.5408832863674
5437,SE3,Asköfjärden,strandäng/våtmark,öar,10_vasstrand,6,20265437006,,46.6,266,653041.5657,6523293.0139,17.6505971295383,58.8222838698058
5437,SE3,Asköfjärden,klippa/häll,öar,01_klippstränder,20,20265437020,,2.5,136,652368.9255,6523791.0043,17.6393014191417,58.826990010697
5437,SE3,Asköfjärden,block/grus,öar,02_block/grus,24,20265437024,,2.4,270,652352.9879,6523891.7962,17.6390944603111,58.8278998899251
5442,SE3,Trosafjärden,klippa/häll,fastland,08_havsklippa,1,20265442001,,1.6,245,647105.1679,6527942.5802,17.5509685800336,58.8660682370488
5447,SE3,Fågelöfjärden,strandäng/våtmark,öar,14_strandäng,4,20265447004,,79.1,230,648367.2766,6530441.4458,17.5744955773811,58.8880537743461
5447,SE3,Fågelöfjärden,strandäng/våtmark,öar,15_strandängsbete,6,20265447006,,40.9,185,648171.5615,6530541.9364,17.5711704098116,58.8890229024994
5449,SE3,Fifångsdjupet,block/grus,fastland,02_block/grus,6,20265449006,,7.6,262,651254.2706,6530211.6885,17.6243748118631,58.8849857554508
5449,SE3,Fifångsdjupet,strandäng/våtmark,fastland,15_strandängsbete,8,20265449008,,93.9,349,651263.7203,6530265.9855,17.6245754999784,58.8854695476331
5449,SE3,Gälöfjärden,klippa/häll,fastland,01_klippstränder,9,20265449009,,8.8,269,651473.3581,6530334.4327,17.6282551222949,58.8860097511402
5449,SE3,Gälöfjärden,strandäng/våtmark,fastland,14_strandäng,11,20265449011,,25.5,181,651244.8914,6530492.1273,17.6244029894162,58.8875049807582
5449,SE3,Gälöfjärden,strandäng/våtmark,fastland,10_vasstrand,13,20265449013,,16.8,212,651150.1254,6530525.9304,17.6227835761185,58.8878415949811
5452,SE3,Trosafjärden,strandäng/våtmark,fastland,14_strandäng,3,20265452003,,56.8,45,645890.086,6531307.3304,17.53212808274,58.8966709509143
5453,SE3,Fifångsdjupet,klippa/häll,öar,08_havsklippa,3,20265453003,,7.9,43,655298.0485,6531430.3342,17.6953000323476,58.8944754559117
5453,SE3,Svärdsfjärden,block/grus,öar,02_block/grus,4,20265453004,,4.5,6,655413.3202,6531453.1833,17.6973140641018,58.8946387343199
5453,SE3,Svärdsfjärden,klippa/häll,öar,01_klippstränder,15,20265453015,,5.3,232,655359.0844,6531884.6838,17.6966756064875,58.8985292795124
5455,SE3,Svärdsfjärden,strandäng/våtmark,öar,14_strandäng,2,20265455002,,33.2,314,654601.0761,6533089.5221,17.6843736165541,58.9096113678719
5455,SE3,Svärdsfjärden,klippa/häll,öar,01_klippstränder,21,20265455021,,8.6,231,655061.9654,6533493.0293,17.6926477617326,58.9130649172818
5455,SE3,Svärdsfjärden,block/grus,öar,08_havsklippa,25,20265455025,,13.3,54,654850.0847,6533573.6473,17.6890293800753,58.9138646335237
5455,SE3,Svärdsfjärden,block/grus,öar,02_block/grus,36,20265455036,,3.3,205,654786.3544,6533684.4894,17.688001379912,58.914881975576
5455,SE3,Svärdsfjärden,strandäng/våtmark,öar,15_strandängsbete,41,20265455041,,29.7,222,654245.9271,6533838.8263,17.6787355142637,58.9164611127422
5458,SE3,Gälöfjärden,strandäng/våtmark,fastland,10_vasstrand,1,20265458001,,25.4,188,648822.074,6535881.8781,17.5860251396808,58.9367060075863
5461,SE3,Gälöfjärden,strandäng/våtmark,fastland,15_strandängsbete,2,20265461002,,167.7,72,649996.2153,6537170.0407,17.6072755684006,58.9478535207058
5461,SE3,Gälöfjärden,strandäng/våtmark,fastland,15_strandängsbete,6,20265461006,,29.9,75,649964.3329,6537349.2632,17.606843410639,58.9494725582472
5461,SE3,Gälöfjärden,strandäng/våtmark,fastland,10_vasstrand,13,20265461013,,6.5,75,649497.8165,6537557.4687,17.5988841471896,58.951503466098
5461,SE3,Gälöfjärden,strandäng/våtmark,fastland,15_strandängsbete,15,20265461015,,94.4,94,649951.6329,6537583.0231,17.6067812162342,58.9515741599362
5461,SE3,Gälöfjärden,strandäng/våtmark,fastland,15_strandängsbete,19,20265461019,,58.6,89,650005.8285,6537698.1523,17.6078002367377,58.9525880625692
5461,SE3,Gälöfjärden,strandäng/våtmark,fastland,15_strandängsbete,22,20265461022,,60.1,84,649986.6462,6537823.8297,17.6075523045877,58.9537222806565
5461,SE3,Gälöfjärden,strandäng/våtmark,fastland,15_strandängsbete,27,20265461027,,49.1,65,649911.2398,6537959.4289,17.6063347450724,58.9549651865269
5584,SE4,Östra Blekinge skärgårds kustvatten,block/grus,öar,14_strandäng,1,20265584001,,22.9,255,533310.1592,6216501.7584,15.5353742321809,56.0924814251897
5584,SE4,Östra Blekinge skärgårds kustvatten,block/grus,öar,14_strandäng,2,20265584002,,25.7,190,533197.4421,6216591.9179,15.5335738860248,56.0932992962743
5587,SE4,Västra fjärden,klippa/häll,öar,01_klippstränder,1,20265587001,,6.9,110,532070.1038,6219076.9294,15.5157537371596,56.1157026575387
5589,SE4,Arpöfjärden sek namn,block/grus,öar,02_block/grus,13,20265589013,,7.3,15,523752.1894,6220917.8226,15.3821523127919,56.1327283285172
5590,SE4,Västra fjärden,strandäng/våtmark,öar,10_vasstrand,1,20265590001,,10,193,533551.1004,6220107.497,15.5396996746675,56.1248599269893
5590,SE4,Västra fjärden,block/grus,öar,02_block/grus,5,20265590005,,6.3,127,533649.037,6220239.7743,15.5412916835657,56.1260414622291
5590,SE4,Västra fjärden,strandäng/våtmark,öar,14_strandäng,6,20265590006,,5.4,119,533782.0301,6220262.8074,15.543433872556,56.1262390087755
5590,SE4,Västra fjärden,klippa/häll,öar,01_klippstränder,7,20265590007,,2.3,226,533734.2849,6220271.0357,15.54266690016,56.1263163104624
5590,SE4,Västra fjärden,konstruerad,öar,05_konstruerad,13,20265590013,,1.2,231,533277.8915,6220495.8484,15.5353535422095,56.1283681372877
5593,SE4,Arpöfjärden sek namn,block/grus,skär,09_skär,1,20265593001,,12.9,295,524575.561,6221654.2792,15.3954672141808,56.1393033659617
5593,SE4,Arpöfjärden sek namn,block/grus,öar,15_strandängsbete,5,20265593005,,6.3,81,525078.0767,6221964.2878,15.4035825970321,56.1420625008556
5599,SE4,Västra fjärden,block/grus,öar,02_block/grus,1,20265599001,,5.2,358,531055.2536,6221978.1354,15.4997714566979,56.1418353532151
5599,SE4,Västra fjärden,block/grus,öar,15_strandängsbete,3,20265599003,,6.9,66,530925.3763,6222018.7453,15.4976861474655,56.1422086434058
5599,SE4,Västra fjärden,block/grus,öar,15_strandängsbete,5,20265599005,,9,143,531010.9547,6222214.5852,15.4990861108066,56.1439625923204
5599,SE4,Västra fjärden,strandäng/våtmark,öar,04_strandäng/våtmark,11,20265599011,,6.3,293,530655.4579,6222639.1688,15.4934139016333,56.1478001922283
5599,SE4,Västra fjärden,strandäng/våtmark,öar,10_vasstrand,16,20265599016,,6.4,187,530467.1595,6222788.3261,15.4904003412484,56.1491523429493
5599,SE4,Västra fjärden,klippa/häll,öar,01_klippstränder,18,20265599018,,7.1,202,530682.9882,6222793.5698,15.4938747859482,56.1491856217067
5599,SE4,Västra fjärden,konstruerad,öar,05_konstruerad,19,20265599019,,NA,NA,530508.5651,6222821.4518,15.4910705746871,56.1494473111819
5604,SE4,Ronnebyfjärden,klippa/häll,öar,01_klippstränder,5,20265604005,,2.6,287,515885.3414,6224048.1341,15.2557699722866,56.1611796703718
5604,SE4,Ronnebyfjärden,klippa/häll,öar,15_strandängsbete,11,20265604011,,8,159,515689.5294,6224072.481,15.2526186725142,56.1614049010926
5604,SE4,Ronnebyfjärden,klippa/häll,öar,15_strandängsbete,12,20265604012,,6,157,515692.5366,6224074.0716,15.2526671850173,56.1614190930733
5604,SE4,Ronnebyfjärden,klippa/häll,öar,15_strandängsbete,13,20265604013,,4,159,515714.9571,6224080.1229,15.2530285332786,56.1614727233245
5604,SE4,Spjälköområdet,strandäng/våtmark,fastland,04_strandäng/våtmark,33,20265604033,,5.5,110,515292.0293,6224420.6507,15.2462385630209,56.1645459879881
5604,SE4,Ronnebyfjärden,block/grus,fastland,02_block/grus,41,20265604041,,2.3,276,515894.1896,6224492.5108,15.2559389830056,56.1651719294616
5604,SE4,Ronnebyfjärden,strandäng/våtmark,fastland,15_strandängsbete,49,20265604049,,12,234,515867.9406,6224597.9289,15.2555225969542,56.1661199445937
5604,SE4,Ronnebyfjärden,block/grus,fastland,15_strandängsbete,54,20265604054,,5.2,322,515878.6133,6224727.2566,15.2557021785829,56.1672815483049
5611,SE4,Danmarksfjärden,block/grus,fastland,15_strandängsbete,10,20265611010,,7.8,310,535419.4837,6228396.24,15.5708560570729,56.1991932278719
5611,SE4,Danmarksfjärden,strandäng/våtmark,fastland,15_strandängsbete,12,20265611012,,5.8,310,535466.3881,6228426.7985,15.5716160562011,56.1994642804013
5611,SE4,Danmarksfjärden,klippa/häll,fastland,01_klippstränder,20,20265611020,,3.8,352,535786.0385,6228576.0162,15.5767877252625,56.200780965171
5742,SE4,Vistingsdjupet,block/grus,öar,02_block/grus,14,20265742014,,6.2,23,600548.7335,6392686.3504,16.6854695361687,57.6651980795452
5742,SE4,Lökholmsdjupet,klippa/häll,öar,01_klippstränder,17,20265742017,,4,190,600650.5884,6392722.3968,16.6871910858558,57.6654989781345
5742,SE4,Lökholmsdjupet,klippa/häll,öar,08_havsklippa,23,20265742023,,2.7,259,600410.3036,6392783.3485,16.6831905717909,57.6660998728121
5746,SE4,Västerviks kustvatten,klippa/häll,skär,09_skär,1,20265746001,,29,188,609189.9949,6394006.1322,16.8308365594447,57.6750351863183
5747,SE4,Björkskärsdjupet,konstruerad,fastland,14_strandäng,1,20265747001,,58.2,51,601372.1051,6396505.2298,16.7008701852496,57.6993015310752
5762,SE4,Yttre Gamlebyviken,block/grus,fastland,02_block/grus,5,20265762005,,2,62,595180.4038,6407251.8624,16.6012916527525,57.7971473696543
